Household_ID,State,District,Area,Family_Size,Income,Expenses,Savings,Education,Occupation,Own_House,Vehicles,Electricity_Usage,Water_Source,Internet,Bank_Balance,Loan_Amount,Credit_Score
HH00001,Delhi,D,Rural,1,230390,239761,-9371,Primary,Business,Yes,4,251.0,Borewell,No,1358720.88,113022.73,740
HH00002,Tamil Nadu,A,Urban,1,297788,122904,174884,Graduate,Business,No,4,87.0,Tap,No,892899.67,1056075.02,527
HH00003,Gujarat,D,Rural,8,82413,61082,21331,Graduate,Business,Yes,0,835.0,Well,Yes,1643760.86,88202.21,629
HH00004,Maharashtra,D,Urban,2,297548,294254,3294,Primary,Labor,Yes,2,721.1,Tap,Yes,895242.51,711970.96,541
HH00005,Karnataka,A,Rural,2,244344,112112,132232,Graduate,Student,No,2,637.2,Tanker,Yes,1696540.61,1489647.0,546
HH00006,Delhi,B,Urban,5,291154,264249,26905,Graduate,Business,No,3,618.4,Tap,No,1578865.28,626684.37,794
HH00007,Punjab,C,Rural,10,169799,96947,72852,Secondary,Engineer,Yes,4,617.2,Tanker,Yes,526477.02,250476.58,504
HH00008,Karnataka,D,Rural,9,278912,258199,20713,Graduate,Business,No,1,113.3,Borewell,No,1188812.36,610760.02,306
HH00009,Punjab,C,Rural,9,66140,61558,4582,Secondary,Labor,Yes,3,384.3,Tap,Yes,476085.23,790005.92,376
HH00010,Delhi,A,Urban,5,67458,56047,11411,Secondary,Engineer,Yes,4,847.4,Well,Yes,1078102.29,541509.69,614
HH00011,Delhi,C,Urban,6,263993,140112,123881,Secondary,Teacher,Yes,3,200.0,Borewell,No,775699.4,479533.73,665
HH00012,Karnataka,B,Rural,10,133146,127429,5717,Secondary,Engineer,No,0,712.0,Well,No,1611859.76,1051788.72,837
HH00013,Gujarat,A,Urban,5,34415,16200,18215,Secondary,Business,No,2,394.0,Tanker,Yes,1003128.48,1107988.31,452
HH00014,Maharashtra,B,Urban,9,78684,57142,21542,Secondary,Student,Yes,1,721.8,Tanker,No,1226524.74,963265.94,335
HH00015,Gujarat,A,Rural,8,85292,45844,39448,Primary,Business,No,0,268.9,Tanker,Yes,1024519.32,1491240.99,551
HH00016,Delhi,D,Urban,1,259872,229108,30764,Secondary,Farmer,No,3,601.5,Tap,Yes,895811.07,1082900.86,312
HH00017,Delhi,C,Rural,3,200795,131751,69044,Graduate,Student,Yes,0,899.5,Borewell,Yes,59378.91,728451.68,650
HH00018,Punjab,C,Rural,2,6037,6435,-398,Secondary,Student,No,0,692.5,Well,No,1593568.14,547586.51,835
HH00019,Delhi,C,Urban,4,35243,36125,-882,Primary,Doctor,Yes,0,628.5,Well,No,223888.21,718242.76,758
HH00020,Gujarat,B,Urban,5,276515,173883,102632,Postgraduate,Engineer,No,0,508.1,Tap,No,1516711.71,722219.4,805
HH00021,Maharashtra,C,Rural,1,102326,94391,7935,Secondary,Farmer,No,4,873.9,Borewell,Yes,1602014.1,1161108.02,532
HH00022,Gujarat,C,Urban,10,128835,57478,71357,Secondary,Teacher,No,2,789.7,Well,Yes,1951806.85,816469.5,737
